"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00427516","ST. GEORGE, UT US","1918-05-29","5.00",,"67","39"
"USC00427516","ST. GEORGE, UT US","1918-05-30",,,"74","47"
"USC00427516","ST. GEORGE, UT US","1918-05-31",,,"84","52"
"USC00427516","ST. GEORGE, UT US","1918-06-01",,,"89","52"
"USC00427516","ST. GEORGE, UT US","1918-06-02",,,"99","59"
"USC00427516","ST. GEORGE, UT US","1918-06-03",,,"78","56"
"USC00427516","ST. GEORGE, UT US","1918-06-04",,,"99","54"
"USC00427516","ST. GEORGE, UT US","1918-06-05",,,"102","58"
"USC00427516","ST. GEORGE, UT US","1918-06-06",,,"101","61"
"USC00427516","ST. GEORGE, UT US","1918-06-07",,,"102","57"
"USC00427516","ST. GEORGE, UT US","1918-06-08",,,"104","59"
"USC00427516","ST. GEORGE, UT US","1918-06-09",,,"109","64"
"USC00427516","ST. GEORGE, UT US","1918-06-10",,,"110","65"
"USC00427516","ST. GEORGE, UT US","1918-06-11",,,"114","69"
"USC00427516","ST. GEORGE, UT US","1918-06-12",,,"115","72"
"USC00427516","ST. GEORGE, UT US","1918-06-13",,,"110","76"
"USC00427516","ST. GEORGE, UT US","1918-06-14",,,"107","74"
"USC00427516","ST. GEORGE, UT US","1918-06-15",,,"96","65"
"USC00427516","ST. GEORGE, UT US","1918-06-16",,,"96","65"
"USC00427516","ST. GEORGE, UT US","1918-06-17",,,"104","66"
"USC00427516","ST. GEORGE, UT US","1918-06-18",,,"102","72"
"USC00427516","ST. GEORGE, UT US","1918-06-19",,,"99","73"
"USC00427516","ST. GEORGE, UT US","1918-06-20",,,"102","68"
"USC00427516","ST. GEORGE, UT US","1918-06-21",,,"102","68"
"USC00427516","ST. GEORGE, UT US","1918-06-22",,,"98","74"
"USC00427516","ST. GEORGE, UT US","1918-06-23",,,"101","65"
"USC00427516","ST. GEORGE, UT US","1918-06-24",,,"103","66"
"USC00427516","ST. GEORGE, UT US","1918-06-25",,,"106","65"
"USC00427516","ST. GEORGE, UT US","1918-06-26",,,"109","65"
"USC00427516","ST. GEORGE, UT US","1918-06-27",,,"110","64"
"USC00427516","ST. GEORGE, UT US","1918-06-28",,,"108","70"
"USC00427516","ST. GEORGE, UT US","1918-06-29",,,"104","61"
"USC00427516","ST. GEORGE, UT US","1918-06-30",,,"104","66"
"USC00427516","ST. GEORGE, UT US","1918-07-01",,,"103","66"
"USC00427516","ST. GEORGE, UT US","1918-07-02",,,"100","67"
"USC00427516","ST. GEORGE, UT US","1918-07-03",,,"101",
"USC00427516","ST. GEORGE, UT US","1918-07-04",,,"102","70"
"USC00427516","ST. GEORGE, UT US","1918-07-05",,,"103","66"
"USC00427516","ST. GEORGE, UT US","1918-07-06",,,"104","67"
"USC00427516","ST. GEORGE, UT US","1918-07-07","0.11",,"101","65"
"USC00427516","ST. GEORGE, UT US","1918-07-08","0.15",,"98","65"
"USC00427516","ST. GEORGE, UT US","1918-07-09",,,"88","69"
"USC00427516","ST. GEORGE, UT US","1918-07-10","0.05",,"85","61"
"USC00427516","ST. GEORGE, UT US","1918-07-11",,,"91","66"
"USC00427516","ST. GEORGE, UT US","1918-07-12","0.12",,"79","63"
"USC00427516","ST. GEORGE, UT US","1918-07-13","0.40",,"85",
"USC00427516","ST. GEORGE, UT US","1918-07-14",,,"95","60"
"USC00427516","ST. GEORGE, UT US","1918-07-15",,,"99","62"
"USC00427516","ST. GEORGE, UT US","1918-07-16",,,"100","63"
"USC00427516","ST. GEORGE, UT US","1918-07-17",,,"102","67"
"USC00427516","ST. GEORGE, UT US","1918-07-18",,,"99","64"
"USC00427516","ST. GEORGE, UT US","1918-07-19",,,"100","70"
"USC00427516","ST. GEORGE, UT US","1918-07-20",,,"102","67"
"USC00427516","ST. GEORGE, UT US","1918-07-21",,,"100","91"
"USC00427516","ST. GEORGE, UT US","1918-07-22",,,"101","64"
"USC00427516","ST. GEORGE, UT US","1918-07-23",,,"100","63"
"USC00427516","ST. GEORGE, UT US","1918-07-24",,,"96","58"
"USC00427516","ST. GEORGE, UT US","1918-07-25",,,"98","57"
"USC00427516","ST. GEORGE, UT US","1918-07-26",,,"100","58"
"USC00427516","ST. GEORGE, UT US","1918-07-27",,,"102","59"
"USC00427516","ST. GEORGE, UT US","1918-07-28",,,"104","60"
"USC00427516","ST. GEORGE, UT US","1918-07-29",,,"108","60"
"USC00427516","ST. GEORGE, UT US","1918-07-30",,,"108","73"
"USC00427516","ST. GEORGE, UT US","1918-07-31","0.20",,"104","62"
"USC00427516","ST. GEORGE, UT US","1918-08-01","0.05",,"100","69"
"USC00427516","ST. GEORGE, UT US","1918-08-02","0.00",,"105","70"
"USC00427516","ST. GEORGE, UT US","1918-08-03","0.00",,"109","73"
"USC00427516","ST. GEORGE, UT US","1918-08-04","0.00",,"103","75"
"USC00427516","ST. GEORGE, UT US","1918-08-05","0.00",,"95","71"
"USC00427516","ST. GEORGE, UT US","1918-08-06","0.00",,"93","67"
"USC00427516","ST. GEORGE, UT US","1918-08-07","0.00",,"94","65"
"USC00427516","ST. GEORGE, UT US","1918-08-08","0.00",,"93","65"
"USC00427516","ST. GEORGE, UT US","1918-08-09","0.00",,"96","70"
"USC00427516","ST. GEORGE, UT US","1918-08-10","0.28",,"86","64"
"USC00427516","ST. GEORGE, UT US","1918-08-11","0.04",,"85","61"
"USC00427516","ST. GEORGE, UT US","1918-08-12","0.00",,"96","62"
"USC00427516","ST. GEORGE, UT US","1918-08-13","0.13",,"88","65"
"USC00427516","ST. GEORGE, UT US","1918-08-14","0.15",,"88","61"
"USC00427516","ST. GEORGE, UT US","1918-08-15","0.02",,"89","52"
"USC00427516","ST. GEORGE, UT US","1918-08-16","0.00",,"89","54"
"USC00427516","ST. GEORGE, UT US","1918-08-17","0.00",,"91","53"
"USC00427516","ST. GEORGE, UT US","1918-08-18","0.00",,"93","54"
"USC00427516","ST. GEORGE, UT US","1918-08-19","0.00",,"95","56"
"USC00427516","ST. GEORGE, UT US","1918-08-20","0.00",,"94","53"
"USC00427516","ST. GEORGE, UT US","1918-08-21","0.00",,"97","53"
"USC00427516","ST. GEORGE, UT US","1918-08-22","0.00",,"99","54"
"USC00427516","ST. GEORGE, UT US","1918-08-23","0.00",,"100","56"
"USC00427516","ST. GEORGE, UT US","1918-08-24","0.00",,"101","58"
"USC00427516","ST. GEORGE, UT US","1918-08-25","0.00",,"103","59"
"USC00427516","ST. GEORGE, UT US","1918-08-26","0.00",,"105","59"
"USC00427516","ST. GEORGE, UT US","1918-08-27","0.06",,"103","64"
"USC00427516","ST. GEORGE, UT US","1918-08-28","0.00",,"109","63"
"USC00427516","ST. GEORGE, UT US","1918-08-29","0.00",,"103","70"
"USC00427516","ST. GEORGE, UT US","1918-08-30","0.00",,"98","69"
"USC00427516","ST. GEORGE, UT US","1918-08-31","0.12",,"96","63"
"USC00427516","ST. GEORGE, UT US","1918-09-01",,,"98","60"
"USC00427516","ST. GEORGE, UT US","1918-09-02","0.31",,"96","59"
"USC00427516","ST. GEORGE, UT US","1918-09-03","0.37",,"81","61"
"USC00427516","ST. GEORGE, UT US","1918-09-04","0.35",,"84","59"
"USC00427516","ST. GEORGE, UT US","1918-09-05","0.05",,"90","55"
"USC00427516","ST. GEORGE, UT US","1918-09-06",,,"94","55"
"USC00427516","ST. GEORGE, UT US","1918-09-07",,,"92","59"
"USC00427516","ST. GEORGE, UT US","1918-09-08",,,"92","52"
"USC00427516","ST. GEORGE, UT US","1918-09-09",,,"91","52"
"USC00427516","ST. GEORGE, UT US","1918-09-10",,,"99","51"
"USC00427516","ST. GEORGE, UT US","1918-09-11",,,"100","52"
"USC00427516","ST. GEORGE, UT US","1918-09-12",,,"99","60"
"USC00427516","ST. GEORGE, UT US","1918-09-13",,,"100","62"
"USC00427516","ST. GEORGE, UT US","1918-09-14",,,"93","56"
"USC00427516","ST. GEORGE, UT US","1918-09-15",,,"91","57"
"USC00427516","ST. GEORGE, UT US","1918-09-16",,,"95","58"
"USC00427516","ST. GEORGE, UT US","1918-09-17",,,"97","61"
"USC00427516","ST. GEORGE, UT US","1918-09-18",,,"98","54"
"USC00427516","ST. GEORGE, UT US","1918-09-19",,,"100","54"
"USC00427516","ST. GEORGE, UT US","1918-09-20",,,"101","59"
"USC00427516","ST. GEORGE, UT US","1918-09-21","0.09",,"85","62"
"USC00427516","ST. GEORGE, UT US","1918-09-22","0.60",,"80","55"
"USC00427516","ST. GEORGE, UT US","1918-09-23","0.02",,"77","48"
"USC00427516","ST. GEORGE, UT US","1918-09-24",,,"81","49"
"USC00427516","ST. GEORGE, UT US","1918-09-25",,,"85","51"
